text,label,,,
ME: ekspresowa wygrana Polek z debiutantkami,__label__1,,,
Historyczny triumf Huberta Hurkacza w Winston-Salem,__label__1,,,
Wojciech Fibak: Życzę Hubertowi by pobił moje rekordy. A Magdzie by konsekwentnie szła dalej,__label__1,,,
Hubert Hurkacz - Benoit Paire (relacja na żywo),__label__1,,,
Marcin Lewandowski pobił rekord Polski na 1500 metrów,__label__1,,,
Kolejny gol Grzegorza Krychowiaka w Rosji! Bramkarz Krasnodaru mocno mu w tym pomógł,__label__1,,,
Fiorentina - SSC Napoli (relacja na żywo),__label__1,,,
Nowy rekord Polski Marcina Lewandowskiego na 1500 m,__label__1,,,
Hiszpania: Valencia wciąż bez zwycięstwa,__label__1,,,
Media w USA: monumentalny dzień polskiego tenisa,__label__1,,,
Lewandowski z hat-trickiem. Memy po meczu Schalke - Bayern,__label__1,,,
Szał na punkcie Kubicy Russella zmogła choroba,__label__1,,,
Rosja: kuriozalny gol Grzegorza Krychowiaka dla Lokomotiwu Moskwa,__label__1,,,
Magda Linette wygrała turniej w Nowym Jorku!,__label__1,,,
Wielkie oszustwo w hicie Serie A. Sędzia jak dziecko we mgle,__label__1,,,
Bez nowych twarzy w Grand Prix. Żagar Iversen i Fricke pewni miejsca w cyklu!,__label__1,,,
Diamentowa Liga: Nowy rekord Polski Marcina Lewandowskiego na 1500 m,__label__1,,,
Vuelta a Espana: Astana zwyciężyła w drużynowej czasówce szóste miejsce CCC,__label__1,,,
Pełna dominacja Polek od początku do końca. Biało-czerwone pewnie pokonały Portugalię,__label__1,,,
Zwycięstwo Marianne Vos w trzecim etapie Ladies Tour of Norway,__label__1,,,
Kapitalny rekord Polski Marcina Lewandowskiego,__label__1,,,
"Kanonada w ""polskim"" meczu Napoli wraca z tarczą",__label__1,,,
Hurkacz nie przyjechał by wygrać. Cel był inny,__label__1,,,
Lech wygrał z Rakowem Gytkjaer się przełamał,__label__1,,,
Hubert Hurkacz zarobił krocie ale fortuna czeka w US Open,__label__1,,,
Polki rozbiły Portugalki w drugim meczu ME [skrót],__label__1,,,
Hiszpania: ligowa wpadka Realu Madryt,__label__1,,,
Mariusz Rumak zwolniony z Odry Opole,__label__1,,,
Ćwiąkała: Jeden klub dwa ośrodki władzy. Zamieszanie w Valencii trwa [felieton],__label__1,,,
Rumak nie spełnił ultimatum i stracił pracę. To pierwsze zwolnienie w tym sezonie I ligi,__label__1,,,
Wpadka Realu. Królewscy wypuścili wygraną w ostatnich minutach,__label__1,,,
Czy Hurkacz dołączy do Fibaka? Nasz tenisista walczy o pierwszą turniejową wygraną w karierze [na żywo],__label__1,,,
Lewy sam zdominował Schalke i poprowadził Bayern do wygranej. Zobacz hat-tricka Polaka [wideo],__label__1,,,
Dwa karne i przełamanie Gytkjaera. Lech lepszy od Rakowa,__label__1,,,
Dwa gole Salaha. Liverpool pokonał Arsenal,__label__1,,,
Oceniamy Polki po meczu z Portugalią. Najlepsze na boisku weteranki Zaroślińska-Król i Maj-Erwardt,__label__1,,,
Szalony mecz we Florencji Napoli rozpoczyna sezon od zwycięstwa,__label__1,,,
Hiszpania: ligowa wpadka Realu MadrytSiedem goli w szalonym meczu we Florencji! Napoli pokonało Violę w pierwszym spotkaniu sezonu,__label__1,,,
Tokio 2020: luksusowy pakiet olimpijski za... 60 tys. dol.,__label__1,,,
PKO Ekstraklasa: znakomite widowisko z pięcioma golami Lech minimalnie lepszy od Rakowa,__label__1,,,
Oceniamy Polki po meczu z Portugalią. Weteranki najlepsze,__label__1,,,
Hubert Hurkacz - Benoit Paire (na żywo),__label__1,,,
Polki zdominowały Portugalki i wygrały drugi mecz Euro,__label__1,,,
Zaczyna się 52. Bohdan Tomaszewski Cup. Historia polskiego tenisa,__label__1,,,
