text,labelWojciechowski zrobił złe wrażenie i zapewne czeka go powtórne przesłuchanie w europarlamencie,__label__1
Janusz Wojciechowski kandydat na unijnego komisarza ds. rolnictwa staje dziś do egzaminu w europarlamencie,__label__1
Jak będą wyglądać przesłuchania kandydatów na unijnych komisarzy w Parlamencie Europejskim?,__label__1
Duch terrorystycznej organizacji ETA wciąż żyje w hiszpańskiej polityce,__label__1
Z powodu brexitu Bruksela traci wiarę w Wielką Brytanię,__label__1
Europosłanka Sylwia Spurek walczy o wegańskie jedzenie w unijnych stołówkach,__label__1
Dziwne powiązania z Rosją wśród przyczyn odrzucenia kandydatury Węgra do Komisji Europejskiej,__label__1
Jacques Chirac: jego prezydentura była piękną katastrofą,__label__1
Donald Trump nie ma pojęcia w czym się unurzał wskakując do ukraińskiej polityki [KOMENTARZ],__label__1
Brexit pomieszał brytyjskim politykom w głowach – premier chce żeby opozycja go obaliła a opozycja nie chce [KOMENTARZ],__label__1
Trump prosił o pomoc w śledztwie dotyczącym Bidena. To woda na młyn Demokratów,__label__1
Czy Trumpowi zaszkodzi próba odsunięcia go z urzędu? Bo równie dobrze może mu pomóc [KOMENTARZ],__label__1
Brytyjski Sąd Najwyższy mówi rządowi że jego decyzja zawieszenia parlamentu była bezprawna i niebyła [KOMENTARZ],__label__1
Czarna historia tajnego laboratorium CIA gdzie pół wieku temu robiono eksperymenty na ludzkim mózgu,__label__1
Ponure dzieje prognozowania pogody: jak nieuczciwi politycy przyczyniali się do morskich tragedii,__label__1
Kto więcej kosztuje podatników: Trumpowie czy brytyjska rodzina królewska?,__label__1
Gigantyczna fabryka akumulatorów tuż pod polem podbiegunowym – dlaczego tam?,__label__1
Rumunka wybrana na unijnego prokuratora – wbrew protestom własnego rządu,__label__1
Europosłowie ostrzą sobie zęby na kandydatów Ursuli von der Leyen,__label__1
Premier malutkiego Luksemburga udziela publicznej lekcji premierowi Wielkiej Brytanii w sprawie brexitu,__label__1
Putin drwi z Trumpa proponując Arabii Saudyjskiej rosyjski system obrony przeciwrakietowej,__label__1
Ameryka zakazuje aromatyzowanych wkładów do e-papierosów – Europa nie widzi problemu,__label__1
Niemal 500-letnia historia irlandzko-brytyjskiego konfliktu może dziś zachwiać brexitem,__label__1
Gaśnie gwiazda Putina – czy ta tendencja się utrzyma? [KOMENTARZ],__label__1
O co tak naprawdę toczą się boje w Europie [ANALIZA],__label__1
Spiker John Bercow odchodzi – kto będzie teraz tak pięknie krzyczał "Spokój!" na niesfornych posłów,__label__1
Izrael podejrzany o umieszczenie tajemniczych urządzeń szpiegowskich blisko Białego Domu,__label__1
Niektórym kandydatom na komisarzy europejskich grożą poważne dochodzenia,__label__1
Przesłuchania kandydatów do KE – nie tylko Janusz Wojciechowski powinien się obawiać [ANALIZA],__label__1
11 września myśliwce leciały już by zestrzelić samolot który zbliżał się do Białego Domu,__label__1
Polski komisarz w Brukseli będzie podlegał Fransowi Timmermansowi [KOMENTARZ],__label__1
Demokracja sama się pożera i wkrótce nastąpi jej koniec ostrzega znany naukowiec [KOMENTARZ],__label__1
Partia Putina mocno obrywa w wyborach do moskiewskiej Dumy,__label__1
POLITICO: Donald Trump ekspertem od wszystkiego? Nawet jeśli nie to on sam uważa że tak,__label__1
Czy populizm w Europie osiągnął już szczyt? [ANALIZA],__label__1
Putin wziął ukraińskich jeńców żeby teraz wypuszczając ich móc okazać "dobrą wolę" [KOMENTARZ],__label__1
Unijni regulatorzy próbują zdążyć przed inwazją latających samochodów,__label__1
Macron walczy o pozycję globalnego lidera odkąd Trump zajął się "America first" [ANALIZA],__label__1
Prezydent Trump chce zmienić politykę USA przyznawania pomocy humanitarnej. Może ją stracić wiele krajów Afryki i Azji,__label__1
